geoid,st_name,st_abbr,co_name,farmLandAc,1995,2000,2001,2003,2004,2005,2010,2015
17181,Illinois,IL,Union,121193,7436.9,11662.7,12105.5,12620.8,960.2,13938.6,8948,11842.8
17183,Illinois,IL,Vermilion,434091,73621.9,95141.6,93012.4,93339.1,7264.8,113983.6,81570.4,76711.7
17185,Illinois,IL,Wabash,106447,11892.2,22149.1,28283.4,21991.3,3851.8,28402.7,15648.8,15441.8
17187,Illinois,IL,Warren,338461,94543.7,83499.9,77340.8,83298.1,6119.3,86773.6,82004.9,84618.8
17189,Illinois,IL,Washington,355006,45426.1,67587,70161.9,79103.7,4115.1,94464.6,70099,95179.3
17191,Illinois,IL,Wayne,368671,20091.2,42545.6,54006.8,31207.9,8441,64499,39770.2,43128.1
17193,Illinois,IL,White,310952,23805.1,44078.9,52337.7,47613.7,7968.7,52466,31973.5,30451.1
17195,Illinois,IL,Whiteside,403324,118506.4,81718,84764.7,101783.3,3895.6,96508.8,96377,74482
17197,Illinois,IL,Will,233906,44829.4,40865.3,39950.4,44649.2,3616.1,43851.1,31437.6,27365.4
17199,Illinois,IL,Williamson,103531,9439,13583.7,14265.8,9473.9,601.5,15356.7,11988.4,14825
17201,Illinois,IL,Winnebago,183016,54421.4,36252.8,35815.7,40409.5,1744.7,39112,40710.8,26168.6
17203,Illinois,IL,Woodford,322930,37646.6,63039.4,58098.1,60950.1,6674,65995.4,49879.3,56389.5
18001,Indiana,IN,Adams,210252,41298,38396,29908.9,35458.2,2993.6,34696.1,27708.5,30485.2
18003,Indiana,IN,Allen,270921,44060.5,41878.4,33868.2,42486,3896,39166.5,32605.7,35485.8
18005,Indiana,IN,Bartholomew,171615,39933.9,37702.4,40350.9,35703.6,5568.5,34376.1,26283.3,18502.6
18007,Indiana,IN,Benton,254124,63547,64673.8,74225,62005.4,4796.8,73618.8,41832.9,52253.4
18009,Indiana,IN,Blackford,88007,6814,11582.8,15252.5,14672,2216.3,11149.8,11580.3,16780.1
18011,Indiana,IN,Boone,221673,55188.6,62183.8,65432.9,60437.1,8862,58135.5,39782,29155.4
18013,Indiana,IN,Brown,14576,623.7,1992,302.5,993.4,330.4,1395.1,956.4,468.2
18015,Indiana,IN,Carroll,204157,32319.3,55239.8,56412.5,64486.7,3180.6,46262.9,38306.3,34489.6
18017,Indiana,IN,Cass,200208,27945.7,51539.1,54409.3,61507.5,3009.7,47991.5,39714.9,37936.7
18019,Indiana,IN,Clark,78505,12205.1,10145.8,20301.1,9971,1604.2,11569.1,11752.9,7623.2
18021,Indiana,IN,Clay,162953,42433.4,37148.8,31744.9,30424.4,2859.8,40387.6,18172.5,25418.8
18023,Indiana,IN,Clinton,223467,59054.6,62776.2,66602,59420.4,8285.4,57184.1,47941.8,34308.9
18025,Indiana,IN,Crawford,46355,688.4,1741.5,302.9,1087.8,415,1400.8,1577.3,615.5
18027,Indiana,IN,Daviess,225122,36645.3,49866.4,45673.4,39733.9,3782.9,40764.1,38645.2,37865.3
18029,Indiana,IN,Dearborn,56622,4696.4,4475.8,8681.8,4852.7,496.8,5090.6,5115.8,3906.1
18031,Indiana,IN,Decatur,186463,49984.7,47053.8,50390.5,42288.4,6268.8,41425.6,34072.3,24670.2
18033,Indiana,IN,DeKalb,160923,28640,21951.7,18343.4,23568.3,2223.5,23326.7,21076.7,24454
18035,Indiana,IN,Delaware,175160,16667.9,30721.2,44826.6,44985,6410.6,29957.3,24294,39677.4
18037,Indiana,IN,Dubois,174736,30271.2,35709.1,32189.5,22887.6,2658.1,26199.1,24512.7,25283.2
18039,Indiana,IN,Elkhart,172819,18771.1,33229.2,37100.9,38772.6,2055,30731.5,22606.2,21430.1
18041,Indiana,IN,Fayette,78302,10188.9,17705.8,24747.3,23670.7,3071.9,16238,12485.9,19263.1
18043,Indiana,IN,Floyd,21496,530.4,3135.5,453.3,1508.4,591,2339.5,1051.2,790.4
18045,Indiana,IN,Fountain,214482,66102.4,58314.6,51535.4,49475,4363.6,67116.9,27298.5,39315.2
18047,Indiana,IN,Franklin,124986,25010.2,21439.8,42222.5,28287.1,1913.2,23582,23496.4,18593.1
18049,Indiana,IN,Fulton,188384,26141.8,46329,49602.1,55995.9,2613.1,42519.7,37631.7,36259.9
18051,Indiana,IN,Gibson,268005,48537.1,59627.8,53278.9,38034.9,4399.3,46546.6,47207.9,43589.1
18053,Indiana,IN,Grant,183386,37312.5,43070.1,48785.1,38404.6,7259.4,38979.1,30634.1,20497.6
18055,Indiana,IN,Greene,181227,22309.5,26579.6,24647,22137.9,2187.6,20530.9,20112.3,20873.1
18057,Indiana,IN,Hamilton,130980,32973.4,34891.6,37237.7,30768.7,4528.3,26109.4,23067.9,16630.1
18059,Indiana,IN,Hancock,165882,36863.9,41465.9,45902.3,41005,6124.9,38174.3,27249.9,20013.9
18061,Indiana,IN,Harrison,134889,8672.4,23355.3,4336.1,12034.8,4593.9,18308,10087.5,6326
18063,Indiana,IN,Hendricks,218485,34528,41078.3,44518.2,32341.4,4810.8,28990.6,30724.7,21275.3
18065,Indiana,IN,Henry,176564,18726.3,33886.3,48350.2,50082.4,6684.4,34999.5,26761.2,42115.5
18067,Indiana,IN,Howard,144203,37546.4,41371.3,42623.3,37377.9,5707.7,36157.5,26233,18770.8
18069,Indiana,IN,Huntington,188814,42058.5,36721.3,28450.6,35316.6,2822.3,34177.5,30045.7,33674.3
18071,Indiana,IN,Jackson,183838,23937.9,70289.9,11505.3,28269.2,11473.7,50967.5,25047.9,15886.6
18073,Indiana,IN,Jasper,282946,80279.6,81192.3,92424.8,75854.7,5202.5,87324.9,53974.1,63000.8
18075,Indiana,IN,Jay,175675,15783.2,32276.4,47266.3,46404.6,7555.3,32592.6,25811.2,41244.1
18077,Indiana,IN,Jefferson,95322,12948.9,7851.5,16704.7,5549.7,1514.4,11513.1,12516.5,8273.2
18079,Indiana,IN,Jennings,123401,25282.3,20791.4,40439.7,21726.2,2220.9,25018.7,26515.5,18876.1
18081,Indiana,IN,Johnson,144578,33378.8,33968.1,35449,29428.2,3994.1,26546.4,22001.6,15385.2
18083,Indiana,IN,Knox,329268,55005.3,73288.3,65893.9,55945.7,5445.9,57684.2,52688.9,47643.8
18085,Indiana,IN,Kosciusko,254739,28889.1,51809.7,54833.7,64856.6,3487.1,48536.2,39981.1,39577.1
18087,Indiana,IN,LaGrange,204089,38637.4,32527.7,24414.4,28810,1855.8,27829.1,24252,24905.3
18089,Indiana,IN,Lake,133137,34515.9,35397.8,40509.4,32714.5,2684.9,37109.5,20219.2,22237
18091,Indiana,IN,LaPorte,227831,64327.7,63054.7,72007.9,58670.9,4636.9,68065.5,38048.6,47664.6
18093,Indiana,IN,Lawrence,134538,5935.9,19313.1,2883,8072.6,3195.3,13229.7,7792.1,5026.5
18095,Indiana,IN,Madison,205061,47517.3,54429.2,57170.6,47637.2,7134,45562.3,37940.6,26448.5
18097,Indiana,IN,Marion,20038,6672.4,5212,5567.9,4212.6,600.7,3818,3118.2,1819.5
18099,Indiana,IN,Marshall,206412,27823.4,47206.6,52490.2,59914.5,2834.1,43720.9,34448.1,34034.7
18101,Indiana,IN,Martin,62532,7536.1,8577.8,8780.5,6597.8,638.3,6465.9,7570.7,6805.6
18103,Indiana,IN,Miami,175377,20407.8,39304,42154.6,44807.5,2991.2,32037.8,25296.8,24872.2
18105,Indiana,IN,Monroe,52772,1762.7,5763.1,957.2,2780.2,1130.9,3963,2528.9,1496
18107,Indiana,IN,Montgomery,286784,83271.6,67910.2,61707.8,57838.5,5252.3,72319.8,36662.5,48969.6
18109,Indiana,IN,Morgan,137288,26865.1,28959.3,30105.7,25857.3,3709,24105.6,19696.4,12907.3
18111,Indiana,IN,Newton,192071,63181.3,59022.8,56611.1,56722.8,3759.9,65025.9,34753.6,45758
18113,Indiana,IN,Noble,181427,36078.7,33493.1,26090.2,33127.2,2233.2,32368.5,28976.6,32682.6
18115,Indiana,IN,Ohio,21448,2154.1,1092.8,1835.6,1319,152.8,1314.8,1609.6,1234.8
18117,Indiana,IN,Orange,98160,6050.2,21883.1,3626.6,9805,3605.7,16153.7,9497.3,5900.2
18119,Indiana,IN,Owen,95430,15496.6,10938.4,9574.4,8864.8,924.1,11141,6705.2,8414.7
18121,Indiana,IN,Parke,176454,48856.7,36623.1,33270.1,30037.6,2986.5,41632.5,19045.2,26322.1
18123,Indiana,IN,Perry,66207,4202.6,9939,1571.3,4423.3,1804.9,8001.4,4494.6,3141.3
18125,Indiana,IN,Pike,80003,14897.7,19391.9,18340.8,10776.6,1486.2,13885.9,14513,14363.8
